Gender,Age,Annual Income (k$),Spending Score (1-100)
Female,26,53,48
Female,50,42,73
Male,37,45,46
Female,40,60,43
Female,57,60,77
Male,40,86,51
Male,60,80,46
Female,31,80,27
Male,23,54,76
Male,34,78,56
Female,18,81,49
Male,51,58,2
Male,24,67,74
Female,30,81,20
Male,48,66,61
Male,40,68,30
Female,32,97,22
Male,18,66,74
Female,57,44,52
Male,48,25,51
Male,67,63,100
Female,30,51,100
Male,18,81,43
Male,52,101,16
Male,36,33,86
Male,47,37,15
Female,61,59,62
Female,44,39,43
Female,41,54,52
Male,42,46,81
Female,18,34,29
Male,54,82,34
Male,55,62,69
Female,46,108,96
Male,18,69,100
Male,37,94,12
Female,58,41,39
Male,30,41,23
Male,55,118,72
Female,39,44,51
Female,48,35,72
Female,33,29,39
Female,40,110,68
Female,44,53,45
Female,23,71,53
Female,42,64,35
Male,18,41,85
Female,30,52,17
Female,46,82,47
Male,54,28,96
Female,45,78,83
Female,19,98,28
Female,53,68,29
Female,22,95,63
Male,47,24,66
Male,23,15,80
Male,28,66,13
Female,25,45,84
Male,40,83,26
Female,36,52,84
Female,45,64,8
Female,38,62,21
Female,18,63,94
Female,42,46,96
Female,18,24,52
Female,26,54,41
Male,33,98,49
Male,32,44,60
Male,18,44,63
Male,58,64,42
Female,61,29,1
Male,70,86,36
Female,54,32,10
Female,33,52,69
Female,33,127,59
Female,32,30,47
Male,66,99,43
Female,37,63,100
Female,56,67,79
Female,55,39,55
Male,41,81,36
Female,18,50,83
Female,37,30,53
Female,40,98,33
Female,56,50,34
Female,39,15,67
Male,21,53,74
Male,52,81,66
Female,35,77,67
Female,18,43,42
Female,43,34,36
Male,45,24,54
Male,27,59,48
Female,36,64,24
Female,48,79,49
Male,43,56,68
Female,18,55,40
Female,56,53,91
Female,62,64,17
Female,31,57,28
Male,18,85,35
Female,49,68,71
Male,29,63,55
Female,46,59,27
Female,69,35,1
Female,18,60,19
Male,27,43,4
Female,36,69,72
Female,56,55,22
Male,70,104,67
Male,42,27,64
Male,18,15,80
Female,34,67,31
Female,28,43,60
Male,48,64,53
Male,44,28,53
Female,24,110,49
Male,27,50,71
Female,33,41,69
Female,35,110,50
Male,38,82,38
Male,39,97,35
Female,56,56,51
Male,33,61,55
Female,31,44,47
Male,20,41,16
Male,35,71,42
Female,42,50,36
Male,18,118,50
Female,34,82,100
Female,55,110,61
Male,47,15,82
Female,44,110,32
Male,47,15,50
Male,30,27,81
Male,28,15,9
Male,56,66,44
Female,50,60,66
Female,28,81,48
Female,18,58,35
Female,28,92,36
Male,46,36,58
Male,29,93,9
Male,43,59,53
Female,58,122,68
Female,37,83,40
Male,42,52,9
Female,48,59,36
Male,23,34,47
Male,28,69,22
Female,48,52,50
Male,39,79,54
Female,40,25,81
Female,39,51,45
Female,52,30,53
Female,44,31,35
Male,45,76,37
Male,55,90,68
Female,61,15,44
Male,70,109,71
Male,30,97,48
Female,70,25,20
Female,23,82,32
Male,65,48,100
Male,29,57,47
Female,37,76,8
Female,39,73,20
Female,26,45,31
Female,40,45,27
Female,27,46,21
Male,21,90,87
Female,38,15,67
Female,61,56,45
Female,35,101,35
Male,51,79,46
Female,27,88,96
Male,20,56,27
Male,45,29,9
Female,63,62,67
Male,41,42,76
Male,50,119,87
Female,59,56,41
Female,38,77,41
Female,36,105,100
Female,45,31,65
Female,47,15,48
Male,19,73,63
Male,42,78,38
Female,38,49,57
Female,27,30,57
Female,37,68,71
Male,22,59,24
Male,18,69,59
Female,39,30,20
Female,51,69,98
Female,33,82,39
Male,25,21,7
Male,27,98,100
Female,46,67,36
Female,62,82,52
Female,49,26,6
Female,57,78,48
Female,24,17,93
Female,37,35,68
Female,53,67,6
Male,19,53,30
Male,29,61,73
Male,52,111,66
Female,42,60,37
Female,25,79,60
Female,18,58,19
Female,57,58,16
Female,18,34,1
Female,47,70,74
Female,31,127,47
Female,53,62,50
Female,24,53,1
Male,70,90,48
Female,44,87,64
Male,46,72,1
Female,28,52,51
Male,36,90,48
Male,37,63,38
Male,63,84,83
Female,44,39,77
Male,46,45,100
Female,46,63,18
Female,47,28,61
Male,19,50,88
Male,67,26,32
Male,26,19,93
Male,38,124,59
Female,60,44,5
Female,65,46,16
Female,50,62,35
Female,31,32,47
Male,40,47,82
Male,41,108,47
Female,41,69,81
Male,21,86,52
Male,56,101,50
Female,40,66,42
Male,28,54,75
Male,31,22,53
Female,42,50,31
Female,19,56,58
Female,51,39,38
Male,42,101,36
Male,60,89,80
Male,39,86,46
Female,23,57,100
Female,22,33,69
Male,33,95,30
Male,34,69,28
Male,30,80,18
Female,40,76,65
Male,30,68,28
Female,42,113,1
Male,31,43,7
Male,47,52,21
Female,34,103,58
Male,56,62,48
Male,47,57,74
Female,41,53,26
Male,35,78,41
Male,18,54,95
Male,58,51,41
Female,29,77,55
Female,40,63,33
Male,43,34,44
Male,36,61,62
Female,57,97,67
Male,21,80,53
Male,63,100,43
Female,48,41,53
Female,35,88,31
Female,35,43,44
Female,18,28,58
Male,27,39,75
Male,33,64,26
Female,41,87,45
Male,56,68,24
Female,67,56,38
Female,42,33,76
Female,41,79,36
Male,32,85,47
Female,18,68,18
Female,30,32,35
Female,35,81,10
Female,52,92,57
Female,46,100,59
Female,41,49,58
Male,30,72,60
Male,18,46,58
Female,18,36,10
Female,18,102,29
Female,34,75,1
Female,52,94,38
Male,52,28,27
Male,49,68,49
Female,31,73,100
Female,54,38,70
Male,25,99,89
Female,50,54,71
Male,18,72,47
Female,22,46,49
Female,61,29,72
Male,36,84,56
Female,29,70,42
Female,54,66,87
Male,55,53,61
Female,32,69,13
Female,42,93,45
Female,40,42,51
Male,18,75,39
Male,19,65,40
Female,52,55,39
Female,27,17,4
Male,46,60,1
Male,42,78,33
Male,55,69,39
Female,19,22,15
Female,44,93,23
Male,37,103,43
Male,27,57,76
Female,27,121,75
Male,42,38,75
Female,47,27,24
Female,39,33,44
Male,40,66,82
Female,31,15,4
Female,32,52,38
Female,27,137,55
Male,31,21,6
Male,47,46,61
Female,48,33,90
Female,21,53,81
Female,26,51,45
Male,28,42,71
Female,37,56,5
Male,18,77,57
Male,26,96,42
Male,19,53,46
Female,44,60,52
Male,38,72,60
Female,32,28,12
Female,23,56,24
